"","Cell_Line","Drug","GDSC","CCLE"
"80","ES-2","PD-0325901",0.14719108954836,0.420176129789581
"81","ES-2","PLX4720",0.132944154715444,0.0872679397891918
"82","ES-2","Selumetinib",0.173085194040102,0.261322938588207
"83","ES-2","Sorafenib",0.0818825447156558,0.0173691763074328
"84","ES-2","Topotecan",0.447326455744367,0.548431744981789
"85","FU-OV-1","Crizotinib",NA,0.021047488781429
"86","FU-OV-1","Erlotinib",0.0949714158265014,0.116164486880648
"87","FU-OV-1","Irinotecan",0.00452110162814705,0.417005053556377
"88","FU-OV-1","Lapatinib",0.128700863299832,0.107185028597161
"89","FU-OV-1","Nilotinib",0.1081587353784,0.0250743700691585
"90","FU-OV-1","Paclitaxel",0.0137397635368294,0.639416200956848
"91","FU-OV-1","Palbociclib",0.0564058496058183,0
"92","FU-OV-1","PD-0325901",0.127099586083634,0.3237901334518
"93","FU-OV-1","PLX4720",0,0.0125562500000009
"94","FU-OV-1","Selumetinib",NA,0.248401377479962
"95","FU-OV-1","Sorafenib",0.0177399162719194,0.0722510471886509
"96","FU-OV-1","Topotecan",NA,0.213674600037886
"97","IGROV-1","Crizotinib",0.0952564090440665,0.00365836757801946
"98","IGROV-1","Erlotinib",0.268742637592148,0.1451892846298
"99","IGROV-1","Irinotecan",0.154945518689404,0.320229682498514
"100","IGROV-1","Lapatinib",0.238887572256388,0.125661022938111
"101","IGROV-1","Nilotinib",0.0282325183870194,0.0489294980388893
"102","IGROV-1","Paclitaxel",0.0588622948818087,0.508178387734825
"103","IGROV-1","Palbociclib",0.243586545085627,0.00797553837134276
"104","IGROV-1","PD-0325901",0.263277374342933,0.270253164607074
"105","IGROV-1","PLX4720",0.0871194380028993,NA
"106","IGROV-1","Selumetinib",0.220534291764053,0.109092588573052
"107","IGROV-1","Sorafenib",0.06464331095739,0.0591428388346919
"108","IGROV-1","Topotecan",0.180939344586144,0.393880268368669
"109","JHOS-2","Crizotinib",NA,0.0103735168377612
"110","JHOS-2","Erlotinib",NA,0.00966614289070137
"111","JHOS-2","Irinotecan",NA,NA
"112","JHOS-2","Lapatinib",NA,0.0691942143664832
"113","JHOS-2","Nilotinib",NA,0.0176514950464968
"114","JHOS-2","Paclitaxel",NA,0.596728175594744
"115","JHOS-2","Palbociclib",NA,0
"116","JHOS-2","PD-0325901",NA,0.156446254845533
"117","JHOS-2","PLX4720",NA,0.00974588819522402
"118","JHOS-2","Selumetinib",NA,0.13923964855446
"119","JHOS-2","Sorafenib",NA,0
"120","JHOS-2","Topotecan",NA,0.303623542168153
"121","JHOS-4","Crizotinib",NA,NA
"122","JHOS-4","Erlotinib",NA,0.12377795580422
"123","JHOS-4","Irinotecan",NA,NA
"124","JHOS-4","Lapatinib",NA,0.11908330344545
"125","JHOS-4","Nilotinib",NA,0.120377354504447
"126","JHOS-4","Paclitaxel",NA,0.718570313737029
"127","JHOS-4","Palbociclib",NA,0
"128","JHOS-4","PD-0325901",NA,0.0278708481957038
"129","JHOS-4","PLX4720",NA,0.0550466585222667
"130","JHOS-4","Selumetinib",NA,0.0979306260303235
